level,error_category,events_count,users_count
продвинутый,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Не удается найти указанный файл | System.ComponentModel.Win32Exception (,9,1
продвинутый,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Не найдены cookies для загрузки. | System.Exception: Не найдены coo,8,2
продвинутый,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,8,2
продвинутый,运行列表 动作id<id> 动作组id<id> 处理列表失败,8,1
продвинутый,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,7,3
продвинутый,从表格中获取行 动作id<id> 动作组id<id> 行数在表格中不存在,7,1
продвинутый,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,6,3
продвинутый,Running the WebBrowserSettings action id: <id> action group id: <id> Object reference not set to an instance of an object,6,2
продвинутый,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\gorch\OneDrive\Рабочий стол\ван вин\пиас",6,1
продвинутый,运行TextProcessing 动作id<id> 动作组id<id> 处理文本不能为空,6,1
продвинутый,Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина Cap.Guru.27.6_all Ошибка в действии: <id>,6,1
продвинутый,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат,5,3
продвинутый,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,5,3
продвинутый,Running the logical IF-statement action id: <id> action group id: <id> Result: false,5,2
продвинутый,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 14; Cтолбец: 0] Случайное падение (20%) | System.Exception: С,5,1
продвинутый,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Andre\Documents\""",5,1
продвинутый,Выполнение действия ParsePage id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Инде,5,1
продвинутый,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",4,2
продвинутый,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\ооолод\Downloads\Telegram Desktop\профил",4,1
продвинутый,执行动作 Db id: <id> 在动作组中: <id> No such variable: info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such variable: in,4,1
продвинутый,Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: <id> группы действий id: <id> Результат: 1,4,1
продвинутый,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,3,3
продвинутый,Выполнение действия Profile id: <id> группы действий id: <id> Не удалось найти подходящий профиль. | System.Data.ObjectNotFoundException: Не,3,3
продвинутый,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,3,3
