lite_or_pro,error_category,events_count,users_count
pro,Executing the Create ZennoBrowser profiles action id: <id> action group id: <id> A variable with the specified name does not exist,1,1
pro,"Executing the Create ZennoBrowser profiles action id: <id> action group id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC respo",1,1
pro,"Executing the Create ZennoBrowser profiles action id: <id> action group id: <id> {""ExceptionJson"":[""{\u0022$type\u0022:\u0022ZennoLab.Platfo",1,1
pro,Server 500,1,1
pro,Выполнение действия Остановить инстанс id: <id> группы действий id: <id> Ошибка обращения к Instance.PrepareInstance | System.Exception: Оши,1,1
pro,Executing action CSharp OwnCode: insert data into supabase.id: <id> action group id: <id> [Row: 48; Column: 0] Missing token_contract_addres,1,1
pro,Выполнение действия CSharp OwnCode: Исходя из кол-ва профилей добавляем нужное кол-во выполнений. id: <id> группы действий id: <id> Входная ,1,1
pro,"Searching text on a page action id: <id> of action group id: <id> Not found, Url: https://www.iplocation.net/, Regex: JustOctane",1,1
pro,"执行解析Json/Xml动作 id: <id> 动作分组ID: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | System.Exception: Error reading JT",1,1
pro,Subproject share_przy_obsludze. Run Emulation action id: <id> action group id: <id> subproject path: C:\Users\jerzy\OneDrive\BOT\FB_system\s,1,1
pro,Subproject FB_XML-dodawanie_zdjec_miast_pracy_bio_9. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\jer,1,1
pro,Subproject FB_XML-dodawanie_zdjec_miast_pracy_bio_9. Executing action ImageProcessing id: <id> Action Group id: <id> subproject path: C:\Use,1,1
pro,Выполнение действия HtmlElement id: <id> группы действий id: <id> Ошибка обращения к Instance.GetTabByAddress | System.Exception: Ошибка обр,1,1
pro,Подпроект tittok_2. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path: C:\unnell\zp\tittok_2.zp Ошибка п,1,1
pro,Run programm C:\Users\Administrator\AppData\Local\Programs\Python\Python313\python.exe action id: <id> action group id: <id> Result:1,1,1
pro,Run programm C:\Users\Administrator\AppData\Local\Programs\Python\Python313\python.exe action id: <id> action group id: <id> Result:-1,1,1
pro,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,1,1
pro,Подпроект class-discord-after-join-popup-confirm-click. Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> подпроект path,1,1
pro,Подпроект class-discord-join-new-server. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path: D:\socials\d,1,1
pro,Подпроект module-discord-actions. Выполнение логического оператора If действия id: <id> группы действий id: <id> подпроект path: D:\socials\,1,1
pro,Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Failed to get customer token from auth provider ,1,1
pro,Подпроект conceptor. Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> подпроект path: D:\Zennoposter\Projects\HTMLtoAZO,1,1
pro,Выполнение действия Profile id: <id> группы действий id: <id> Не удалось найти подходящий профиль. | System.Data.ObjectNotFoundException: Не,1,1
pro,Подпроект packing. Выполнение действия HtmlElement id: <id> группы действий id: <id> подпроект path: D:\Zennoposter\Projects\HTMLtoAZOR\pack,1,1
pro,Подпроект AhrefsExtractor. Выполнение действия HtmlElement id: <id> группы действий id: <id> подпроект path: D:\Zennoposter\Projects\HTMLtoA,1,1
pro,Подпроект ContentFiller. Выполнение действия File id: <id> группы действий id: <id> подпроект path: D:\Zennoposter\Projects\HTMLtoAZOR\Conte,1,1
pro,Подпроект Охота. Выполнение действия HtmlElement id: <id> группы действий id: <id> подпроект path: C:\Users\AirRus\Documents\Охота.zp Не най,1,1
pro,Подпроект Установка 2фа веб. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path: D:\модули\Установка 2фа ,1,1
pro,Подпроект Установка 2фа. Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> подпроект path: D:\модули\Установка 2фа.zp Err,1,1
pro,Выполнение действия CSharp OwnCode: Ожидаем прогрузку страницы. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | S,1,1
pro,Perform the Touch action id: <id> action group id: <id> HTML element or tab was not found using search settings,1,1
pro,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Server\Desktop\Зенопостер\Проекты\Статис",1,1
pro,"Выполнение действия List id: <id> группы действий id: <id> Не удалось найти часть пути ""E:\work\zp\Please Neither"". | System.IO.DirectoryNot",1,1
pro,Выполнение действия CSharp OwnCode: Получить прокси. id: <id> группы действий id: <id> [Строка: 17; Cтолбец: 4] Исходный файл не найден | Sy,1,1
pro,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,1,1
pro,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://www.satoorday.com/checkout/booking-details?id=kzRjxl7EZGE",1,1
pro,执行插件动作 id: <id> 分组id: <id> 处理插件失败Cap.Guru.27.6_all操作错误：<id>,1,1
pro,Выполнение действия TextProcessing id: <id> группы действий id: <id> Обрабатываемый текст не может быть пустым,1,1
pro,Выполнение действия Directory id: <id> группы действий id: <id> Could not find a part of the path 'E:\Bitdeer-Uzb\Bitdeer-Uzb.zp [04.03.<n> ,1,1
pro,Not found,1,1
pro,Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Additional text encountered after finished reading JSON content: {. Pat,1,1
pro,Выполнение действия CSharp OwnCode: Модуль 1: парсим JSON - vulnsString. id: <id> группы действий id: <id> Unexpected character encountered ,1,1
pro,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Плагин по пути C:\Users\Admin\Documents\ZennoLab\Plugins\Local\result,1,1
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,1,1
pro,Подпроект autorizatia2. Выполнение логического оператора If действия id: <id> группы действий id: <id> подпроект path: C:\Users\Administrato,1,1
pro,"Searching text on a page action id: <id> of action group id: <id> Not found, Url: https://www.sejda.com/pdf-editor, Regex: Reached end of th",1,1
mixed,运行WebBrowserSettings 动作id<id> 动作组id<id> 访问实例错误.ClearCookie | System.Exception: 访问实例错误.ClearCookie,2,1
mixed,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",2,1
mixed,Extension installer not found,1,1
